Match Order,Venue,Date & Time,Result,Team 1 Code,Team 1 Score,Team 1 Overs,Team 2 Code,Team 2 Score,Team 2 Overs,Comments
MATCH 33,"PCA New Stadium, Mullanpur","APR, THU 18 , 7:30 pm IST",MUMBAI INDIANS WON BY 9 RUNS,PBKS,183,(19.1 OV),MI,192/7,(20.0 OV ),MUMBAI INDIANS WON BY 9 RUNS
MATCH 32,"Narendra Modi Stadium, Ahmedabad","APR, WED 17 , 7:30 pm IST",DELHI CAPITALS WON BY 6 WICKETS,GT,89,(17.3 OV),DC,92/4,(8.5 OV ),DELHI CAPITALS WON BY 6 WICKETS
MATCH 31,"Eden Gardens, Kolkata","APR, TUE 16 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 2 WICKETS,KKR,223/6,(20.0 OV),RR,224/8,(20.0 OV ),RAJASTHAN ROYALS WON BY 2 WICKETS
MATCH 30,"M Chinnaswamy Stadium, Bengaluru","APR, MON 15 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 25 RUNS,RCB,262/7,(20.0 OV),SRH,287/3,(20.0 OV ),SUNRISERS HYDERABAD WON BY 25 RUNS
MATCH 29,"Wankhede Stadium, Mumbai","APR, SUN 14 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 20 RUNS,MI,186/6,(20.0 OV),CSK,206/4,(20.0 OV ),CHENNAI SUPER KINGS WON BY 20 RUNS
MATCH 28,"Eden Gardens, Kolkata","APR, SUN 14 , 3:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,KKR,162/2,(15.4 OV),LSG,161/7,(20.0 OV ),KOLKATA KNIGHT RIDERS WON BY 8 WICKETS
MATCH 27,"PCA New Stadium, Mullanpur","APR, SAT 13 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,PBKS,147/8,(20.0 OV),RR,152/7,(19.5 OV ),RAJASTHAN ROYALS WON BY 3 WICKETS
MATCH 26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, FRI 12 , 7:30 pm IST",DELHI CAPITALS WON BY 6 WICKETS,LSG,167/7,(20.0 OV),DC,170/4,(18.1 OV ),DELHI CAPITALS WON BY 6 WICKETS
MATCH 25,"Wankhede Stadium, Mumbai","APR, THU 11 , 7:30 pm IST",MUMBAI INDIANS WON BY 7 WICKETS,MI,199/3,(15.3 OV),RCB,196/8,(20.0 OV ),MUMBAI INDIANS WON BY 7 WICKETS
MATCH 24,"Sawai Mansingh Stadium, Jaipur","APR, WED 10 , 7:30 pm IST",GUJARAT TITANS WON BY 3 WICKETS,RR,196/3,(20.0 OV),GT,199/7,(20.0 OV ),GUJARAT TITANS WON BY 3 WICKETS
MATCH 23,"PCA New Stadium, Mullanpur","APR, TUE 9 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 2 RUNS,PBKS,180/6,(20.0 OV),SRH,182/9,(20.0 OV ),SUNRISERS HYDERABAD WON BY 2 RUNS
MATCH 22,"MA Chidambaram Stadium, Chennai","APR, MON 8 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,CSK,141/3,(17.4 OV),KKR,137/9,(20.0 OV ),CHENNAI SUPER KINGS WON BY 7 WICKETS
MATCH 21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SUN 7 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 33 RUNS,LSG,163/5,(20.0 OV),GT,130,(18.5 OV ),LUCKNOW SUPER GIANTS WON BY 33 RUNS
MATCH 20,"Wankhede Stadium, Mumbai","APR, SUN 7 , 3:30 pm IST",MUMBAI INDIANS WON BY 29 RUNS,MI,234/5,(20.0 OV),DC,205/8,(20.0 OV ),MUMBAI INDIANS WON BY 29 RUNS
MATCH 19,"Sawai Mansingh Stadium, Jaipur","APR, SAT 6 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 6 WICKETS,RR,189/4,(19.1 OV),RCB,183/3,(20.0 OV ),RAJASTHAN ROYALS WON BY 6 WICKETS
MATCH 18,"Rajiv Gandhi International Stadium, Hyderabad","APR, FRI 5 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 6 WICKETS,SRH,166/4,(18.1 OV),CSK,165/5,(20.0 OV ),SUNRISERS HYDERABAD WON BY 6 WICKETS
MATCH 17,"Narendra Modi Stadium, Ahmedabad","APR, THU 4 , 7:30 pm IST",PUNJAB KINGS WON BY 3 WICKETS,GT,199/4,(20.0 OV),PBKS,200/7,(19.5 OV ),PUNJAB KINGS WON BY 3 WICKETS
MATCH 16,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","APR, WED 3 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 106 RUNS,DC,166,(17.2 OV),KKR,272/7,(20.0 OV ),KOLKATA KNIGHT RIDERS WON BY 106 RUNS
MATCH 15,"M Chinnaswamy Stadium, Bengaluru","APR, TUE 2 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 28 RUNS,RCB,153,(19.4 OV),LSG,181/5,(20.0 OV ),LUCKNOW SUPER GIANTS WON BY 28 RUNS
MATCH 14,"Wankhede Stadium, Mumbai","APR, MON 1 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 6 WICKETS,MI,125/9,(20.0 OV),RR,127/4,(15.3 OV ),RAJASTHAN ROYALS WON BY 6 WICKETS
MATCH 13,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","MAR, SUN 31 , 7:30 pm IST",DELHI CAPITALS WON BY 20 RUNS,DC,191/5,(20.0 OV),CSK,171/6,(20.0 OV ),DELHI CAPITALS WON BY 20 RUNS
MATCH 12,"Narendra Modi Stadium, Ahmedabad","MAR, SUN 31 , 3:30 pm IST",GUJARAT TITANS WON BY 7 WICKETS,GT,168/3,(19.1 OV),SRH,162/8,(20.0 OV ),GUJARAT TITANS WON BY 7 WICKETS
MATCH 11,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAR, SAT 30 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 21 RUNS,LSG,199/8,(20.0 OV),PBKS,178/5,(20.0 OV ),LUCKNOW SUPER GIANTS WON BY 21 RUNS
MATCH 10,"M Chinnaswamy Stadium, Bengaluru","MAR, FRI 29 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,RCB,182/6,(20.0 OV),KKR,186/3,(16.5 OV ),KOLKATA KNIGHT RIDERS WON BY 7 WICKETS
MATCH 9,"Sawai Mansingh Stadium, Jaipur","MAR, THU 28 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 12 RUNS,RR,185/5,(20.0 OV),DC,173/5,(20.0 OV ),RAJASTHAN ROYALS WON BY 12 RUNS
MATCH 8,"Rajiv Gandhi International Stadium, Hyderabad","MAR, WED 27 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 31 RUNS,SRH,277/3,(20.0 OV),MI,246/5,(20.0 OV ),SUNRISERS HYDERABAD WON BY 31 RUNS
MATCH 7,"MA Chidambaram Stadium, Chennai","MAR, TUE 26 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 63 RUNS,CSK,206/6,(20.0 OV),GT,143/8,(20.0 OV ),CHENNAI SUPER KINGS WON BY 63 RUNS
MATCH 6,"M Chinnaswamy Stadium, Bengaluru","MAR, MON 25 , 7:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 4 WICKETS,RCB,178/6,(19.2 OV),PBKS,176/6,(20.0 OV ),ROYAL CHALLENGERS BENGALURU WON BY 4 WICKETS
MATCH 5,"Narendra Modi Stadium, Ahmedabad","MAR, SUN 24 , 7:30 pm IST",GUJARAT TITANS WON BY 6 RUNS,GT,168/6,(20.0 OV),MI,162/9,(20.0 OV ),GUJARAT TITANS WON BY 6 RUNS
MATCH 4,"Sawai Mansingh Stadium, Jaipur","MAR, SUN 24 , 3:30 pm IST",RAJASTHAN ROYALS WON BY 20 RUNS,RR,193/4,(20.0 OV),LSG,173/6,(20.0 OV ),RAJASTHAN ROYALS WON BY 20 RUNS
MATCH 3,"Eden Gardens, Kolkata","MAR, SAT 23 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 4 RUNS,KKR,208/7,(20.0 OV),SRH,204/7,(20.0 OV ),KOLKATA KNIGHT RIDERS WON BY 4 RUNS
MATCH 2,"PCA New Stadium, Mullanpur","MAR, SAT 23 , 3:30 pm IST",PUNJAB KINGS WON BY 4 WICKETS,PBKS,177/6,(19.2 OV),DC,174/9,(20.0 OV ),PUNJAB KINGS WON BY 4 WICKETS
MATCH 1,"MA Chidambaram Stadium, Chennai","MAR, FRI 22 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 6 WICKETS,CSK,176/4,(18.4 OV),RCB,173/6,(20.0 OV ),CHENNAI SUPER KINGS WON BY 6 WICKETS
